Date,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
10/14/2023,5,74,Yes,7,1,59
5/2/2023,3,45,No,6,7,23
2/22/2023,1,99,No,7,3,74
12/29/2023,4,84,No,5,3,65
1/25/2023,2,83,No,7,6,60
9/14/2023,2,58,Yes,4,7,32
4/16/2023,3,57,Yes,7,8,38
3/25/2023,8,95,No,9,9,91
4/1/2023,8,40,No,8,7,34
9/30/2023,7,64,No,4,3,46
4/4/2023,6,66,Yes,8,1,55
6/6/2023,9,46,No,9,9,43
6/16/2023,4,83,Yes,5,4,67
11/26/2023,1,81,Yes,6,6,56
12/29/2023,8,68,Yes,5,1,58
12/30/2023,7,70,Yes,4,3,60
8/12/2023,7,83,Yes,9,5,77
7/8/2023,3,82,Yes,9,7,69
2/21/2023,4,75,Yes,6,9,60
3/29/2023,9,58,No,7,5,52
1/24/2023,6,45,No,4,5,36
12/27/2023,5,64,No,6,5,49
12/10/2023,3,70,Yes,8,3,50
12/24/2023,9,48,Yes,6,2,48
11/19/2023,5,59,No,8,0,43
2/6/2023,5,49,Yes,8,1,34
7/29/2023,4,76,Yes,9,1,57
1/4/2023,4,66,Yes,6,9,50
12/13/2023,1,52,Yes,9,6,28
7/9/2023,7,80,Yes,9,5,72
10/26/2023,9,41,Yes,5,7,38
9/25/2023,3,89,Yes,5,8,68
2/5/2023,2,60,Yes,9,4,41
11/22/2023,3,72,Yes,9,2,53
2/6/2023,1,63,Yes,8,3,36
8/12/2023,6,92,Yes,9,7,80
3/7/2023,7,83,Yes,4,2,73
7/22/2023,2,81,No,6,1,59
8/8/2023,8,73,Yes,4,6,67
2/1/2023,6,99,Yes,5,3,91
2/8/2023,4,48,No,4,7,34
2/27/2023,5,41,No,7,0,23
3/3/2023,8,94,No,7,7,86
3/20/2023,3,95,Yes,5,4,73
11/20/2023,3,69,Yes,4,1,49
3/4/2023,4,61,No,6,0,43
9/29/2023,1,85,No,5,5,61
3/26/2023,9,50,No,7,8,45
9/12/2023,8,94,Yes,5,8,85
4/26/2023,8,82,Yes,4,8,75
4/10/2023,6,56,No,4,3,44
5/20/2023,7,75,Yes,4,5,66
1/4/2023,6,52,Yes,8,9,45
6/28/2023,9,46,No,4,5,40
7/18/2023,3,55,No,9,4,38
7/16/2023,3,72,No,7,1,50
7/18/2023,3,84,Yes,7,6,67
5/8/2023,3,40,Yes,8,0,21
5/30/2023,9,50,Yes,7,5,51
3/31/2023,4,45,Yes,7,4,25
2/5/2023,7,59,Yes,5,4,53
11/18/2023,9,74,No,4,7,71
12/20/2023,7,83,Yes,9,8,77
10/30/2023,9,76,Yes,9,6,75
3/13/2023,3,80,No,5,9,60
11/9/2023,4,65,No,9,7,49
8/19/2023,8,97,No,5,1,87
2/17/2023,6,51,No,9,1,40
5/24/2023,5,69,Yes,7,7,56
12/25/2023,4,67,Yes,6,5,49
8/29/2023,8,66,No,4,7,59
9/1/2023,1,81,Yes,6,8,59
12/23/2023,9,58,No,7,8,54
9/25/2023,1,44,Yes,8,5,17
8/22/2023,8,97,Yes,5,7,90
12/25/2023,4,44,Yes,9,1,23
11/14/2023,9,80,No,9,7,82
6/19/2023,5,66,No,7,2,49
12/20/2023,3,67,Yes,9,0,50
8/20/2023,9,65,Yes,7,6,60
10/22/2023,9,66,No,6,0,60
7/26/2023,4,91,No,8,0,74
11/8/2023,4,88,Yes,5,0,71
5/2/2023,8,81,Yes,9,3,77
3/19/2023,2,60,No,8,3,34
7/27/2023,9,40,Yes,8,9,39
1/6/2023,6,93,No,8,5,85
8/25/2023,9,67,No,4,9,64
9/5/2023,8,87,Yes,8,2,87
2/2/2023,7,97,Yes,7,9,91
5/12/2023,1,97,Yes,4,5,73
4/13/2023,3,54,No,4,6,34
1/16/2023,2,94,No,8,0,70
11/30/2023,5,56,No,9,5,42
8/29/2023,5,65,Yes,9,9,55
8/17/2023,5,59,Yes,9,0,45
12/27/2023,4,64,No,9,6,49
12/5/2023,5,52,No,7,9,37
9/28/2023,3,72,Yes,9,4,55
12/14/2023,1,64,No,5,9,38
2/27/2023,5,47,Yes,8,3,35
12/6/2023,9,44,Yes,4,0,41
10/20/2023,9,45,No,5,8,43
7/27/2023,4,62,No,9,6,46
7/19/2023,3,91,No,5,1,69
11/11/2023,1,69,No,4,3,37
11/22/2023,2,53,No,9,3,31
4/28/2023,8,93,Yes,5,7,90
2/28/2023,1,62,No,7,1,33
6/4/2023,8,50,Yes,7,4,44
11/6/2023,7,70,No,8,9,62
6/2/2023,8,45,No,8,7,41
2/4/2023,6,50,No,5,5,38
12/9/2023,9,52,No,4,3,45
6/3/2023,3,51,No,7,4,34
4/22/2023,4,93,No,6,1,72
1/13/2023,6,41,Yes,8,4,29
5/31/2023,8,92,No,7,2,83
5/8/2023,5,74,No,9,2,61
9/12/2023,3,94,No,5,6,75
11/8/2023,6,75,No,7,2,63
10/12/2023,4,56,Yes,7,3,36
4/6/2023,9,67,Yes,5,6,62
3/7/2023,3,67,Yes,8,2,49
2/17/2023,4,61,Yes,8,9,46
2/14/2023,7,77,Yes,6,9,69
9/15/2023,7,46,Yes,6,1,35
7/27/2023,4,54,No,8,9,38
9/25/2023,6,71,No,8,6,62
1/24/2023,3,50,Yes,8,4,30
12/10/2023,6,63,No,8,0,52
1/7/2023,2,42,No,7,9,16
10/20/2023,8,69,No,6,7,66
6/5/2023,2,45,No,5,2,20
12/15/2023,7,97,No,4,6,86
3/11/2023,9,41,Yes,5,5,38
5/3/2023,1,53,Yes,9,9,30
10/11/2023,8,80,Yes,4,5,71
7/14/2023,7,57,Yes,7,7,49
8/23/2023,6,90,Yes,9,3,79
10/28/2023,6,83,Yes,6,3,69
4/22/2023,6,70,No,4,2,56
4/23/2023,9,52,Yes,8,0,47
8/14/2023,2,65,No,9,9,41
3/13/2023,1,83,No,7,2,58
8/20/2023,6,51,Yes,4,0,38
2/20/2023,8,57,Yes,8,5,52
7/17/2023,3,48,Yes,9,7,25
11/17/2023,1,88,No,7,2,62
11/14/2023,9,60,Yes,9,3,60
11/7/2023,1,87,Yes,4,4,63
7/11/2023,3,88,Yes,8,6,72
10/19/2023,8,92,No,6,5,84
10/7/2023,3,95,Yes,7,1,74
1/6/2023,4,79,Yes,4,6,61
3/11/2023,8,82,No,8,7,77
1/22/2023,1,63,No,6,0,36
5/13/2023,6,73,No,9,5,65
3/31/2023,1,47,Yes,8,8,23
12/23/2023,1,83,Yes,6,6,60
4/7/2023,8,92,No,4,4,83
10/10/2023,4,72,Yes,8,9,56
4/6/2023,1,62,No,8,9,37
12/11/2023,7,52,No,5,8,43
11/13/2023,5,93,No,7,1,76
11/20/2023,5,92,No,8,6,83
6/17/2023,1,88,No,6,8,63
12/27/2023,6,53,Yes,7,1,39
12/30/2023,9,53,Yes,4,9,48
4/23/2023,9,55,Yes,7,5,53
12/1/2023,8,88,Yes,5,8,84
9/14/2023,5,77,No,4,2,63
7/18/2023,1,97,Yes,8,7,73
11/14/2023,9,99,No,9,4,99
5/6/2023,1,78,No,4,6,52
7/15/2023,8,65,Yes,4,2,58
3/6/2023,5,65,Yes,5,7,50
7/29/2023,3,40,No,6,1,18
11/4/2023,7,71,Yes,4,7,62
4/16/2023,7,96,Yes,6,1,87
2/15/2023,9,54,Yes,7,6,53
1/30/2023,7,91,Yes,9,1,87
4/20/2023,3,60,No,5,6,37
12/25/2023,1,57,No,8,0,31
2/6/2023,8,69,Yes,4,5,63
1/21/2023,3,99,No,9,9,81
3/14/2023,8,97,No,9,6,95
3/19/2023,8,52,Yes,6,3,45
3/28/2023,5,63,Yes,4,0,48
11/9/2023,1,69,No,9,5,47
5/13/2023,7,41,No,5,3,31
10/14/2023,5,58,No,8,2,43
12/21/2023,8,86,Yes,7,3,82
9/15/2023,9,83,No,7,5,80
6/27/2023,7,86,No,6,4,76
12/20/2023,7,64,Yes,9,1,57
6/8/2023,1,89,No,7,1,64
6/30/2023,4,53,Yes,6,2,35
10/7/2023,2,45,Yes,8,5,24
8/29/2023,2,51,No,4,0,30
8/30/2023,2,59,Yes,5,6,38
12/1/2023,4,62,Yes,8,7,45
5/23/2023,1,69,No,8,6,44
4/16/2023,4,69,Yes,7,2,53
6/21/2023,2,77,No,7,5,53
4/9/2023,5,97,Yes,5,3,84
11/18/2023,3,69,Yes,4,4,47
3/8/2023,8,80,No,8,2,76
7/18/2023,4,69,No,9,4,57
8/17/2023,1,96,No,7,5,71
5/8/2023,1,97,Yes,8,7,74
2/1/2023,3,75,No,4,5,54
5/26/2023,9,88,Yes,6,8,84
5/24/2023,7,73,No,4,9,62
10/9/2023,2,55,Yes,8,9,35
11/11/2023,9,63,No,8,9,62
9/24/2023,2,53,Yes,5,9,30
7/24/2023,3,65,No,8,3,47
2/12/2023,2,47,Yes,7,1,25
7/28/2023,3,53,Yes,9,8,40
2/8/2023,6,70,Yes,5,2,56
2/7/2023,9,41,Yes,8,6,38
8/18/2023,9,87,No,4,3,86
6/29/2023,7,43,Yes,8,0,38
4/18/2023,3,40,No,4,7,17
11/14/2023,4,94,Yes,4,3,75
11/2/2023,6,59,No,8,5,48
2/5/2023,5,98,Yes,4,6,87
3/3/2023,2,53,Yes,9,7,32
3/1/2023,6,79,No,6,9,68
2/7/2023,3,64,No,5,1,42
12/17/2023,8,99,Yes,8,8,96
1/10/2023,2,64,No,6,9,42
3/30/2023,1,42,No,4,2,18
2/20/2023,9,44,No,4,0,41
12/8/2023,3,77,Yes,5,1,54
1/12/2023,1,93,No,6,7,67
2/7/2023,7,65,Yes,6,9,57
5/28/2023,5,79,No,8,5,65
9/10/2023,5,77,No,4,0,62
4/5/2023,1,77,Yes,7,8,56
4/28/2023,9,43,No,8,6,39
8/24/2023,7,46,No,8,9,38
4/12/2023,8,69,No,8,2,65
8/15/2023,9,69,No,5,6,68
9/6/2023,6,95,No,5,5,82
2/12/2023,5,58,No,8,2,44
9/6/2023,6,78,No,9,7,67
6/5/2023,2,74,Yes,7,0,53
5/6/2023,4,79,Yes,6,4,61
9/8/2023,3,72,Yes,6,7,53
12/16/2023,7,72,Yes,4,2,61
12/13/2023,9,53,Yes,6,9,49
7/31/2023,5,77,No,6,5,61
3/7/2023,6,49,Yes,7,9,38
5/6/2023,2,96,Yes,6,1,76
7/1/2023,3,67,No,7,8,47
7/3/2023,3,53,Yes,5,1,32
12/25/2023,9,75,No,7,4,71
3/19/2023,7,77,No,5,2,69
5/8/2023,8,55,Yes,7,9,53
5/6/2023,9,99,Yes,8,8,100
6/5/2023,6,60,No,9,8,49
12/14/2023,4,67,No,5,6,48
2/11/2023,1,72,Yes,5,9,45
7/10/2023,8,45,No,6,4,40
9/2/2023,7,80,Yes,5,8,71
5/19/2023,2,54,Yes,7,6,34
1/25/2023,8,83,Yes,8,1,76
11/30/2023,5,42,Yes,8,9,29
9/27/2023,7,82,No,6,0,71
8/25/2023,4,86,No,7,9,69
12/1/2023,5,74,Yes,7,9,58
3/29/2023,8,53,Yes,4,3,43
3/15/2023,1,41,No,5,9,17
10/18/2023,1,68,No,6,7,41
1/8/2023,4,43,No,8,5,27
4/3/2023,3,65,No,9,1,45
10/26/2023,2,90,No,4,4,65
11/19/2023,3,51,Yes,7,8,31
2/15/2023,1,41,Yes,5,5,14
8/7/2023,1,56,Yes,8,5,33
2/6/2023,6,74,Yes,4,6,60
6/23/2023,5,49,No,7,4,34
10/29/2023,8,87,No,8,2,82
8/15/2023,2,61,Yes,8,2,40
11/26/2023,4,80,Yes,7,4,66
2/19/2023,8,82,No,7,3,76
6/11/2023,6,60,Yes,6,4,46
4/25/2023,1,54,Yes,8,8,31
1/19/2023,4,74,No,7,4,57
4/17/2023,1,87,No,9,3,65
2/8/2023,2,60,No,9,3,38
9/1/2023,5,60,Yes,4,0,46
5/3/2023,8,60,No,5,9,53
6/4/2023,8,99,No,9,3,97
3/14/2023,3,83,Yes,6,3,63
8/26/2023,4,71,No,7,8,55
5/28/2023,6,94,Yes,5,3,79
12/16/2023,3,44,Yes,6,6,26
10/20/2023,2,78,Yes,8,0,55
2/2/2023,6,48,Yes,5,6,37
3/15/2023,5,92,No,9,1,78
5/3/2023,5,57,Yes,6,7,45
7/17/2023,5,60,No,7,0,45
8/2/2023,5,47,No,7,9,34
10/5/2023,3,83,No,6,2,66
7/16/2023,7,91,No,8,7,79
9/13/2023,6,73,No,9,9,63
3/24/2023,4,49,Yes,6,7,32
8/14/2023,2,90,No,4,4,64
1/1/2023,9,80,Yes,6,4,78
7/8/2023,1,96,Yes,6,7,69
12/21/2023,4,63,Yes,9,9,46
3/18/2023,1,79,No,7,4,54
10/20/2023,6,63,No,8,8,51
2/23/2023,4,95,No,6,0,78
5/31/2023,5,71,No,5,4,54
11/4/2023,5,95,Yes,7,2,80
3/29/2023,9,72,No,7,2,67
8/18/2023,1,77,No,6,1,48
11/4/2023,2,83,Yes,9,2,61
4/21/2023,6,96,Yes,5,6,83
7/16/2023,5,95,Yes,6,7,82
5/17/2023,7,90,Yes,5,7,78
5/12/2023,3,98,Yes,7,7,78
7/8/2023,3,88,Yes,5,0,70
7/4/2023,2,73,Yes,6,6,48
12/19/2023,3,50,No,4,1,26
10/6/2023,1,70,No,4,9,46
10/4/2023,5,57,Yes,5,3,42
4/24/2023,5,62,Yes,9,4,46
8/27/2023,7,99,No,6,0,91
3/21/2023,4,61,Yes,8,3,47
5/13/2023,3,82,Yes,4,3,61
9/4/2023,1,57,Yes,7,8,31
2/15/2023,8,79,Yes,6,8,71
5/9/2023,3,86,Yes,6,9,66
6/11/2023,2,80,No,4,0,52
2/12/2023,4,86,Yes,8,7,71
2/24/2023,3,78,Yes,7,3,60
3/10/2023,1,59,Yes,8,3,32
8/29/2023,3,52,No,7,4,33
1/22/2023,2,84,No,4,1,56
9/9/2023,8,40,Yes,6,0,32
8/18/2023,6,91,Yes,7,4,76
10/6/2023,9,43,Yes,6,6,40
3/5/2023,8,63,Yes,5,9,60
7/26/2023,3,75,No,5,8,54
9/13/2023,5,75,No,4,1,59
7/17/2023,7,84,Yes,4,7,74
3/16/2023,5,41,Yes,9,6,29
12/19/2023,8,67,No,4,1,61
1/24/2023,5,65,No,5,4,50
10/30/2023,1,62,Yes,7,6,36
12/29/2023,5,54,Yes,8,2,41
1/10/2023,4,75,Yes,4,1,60
8/14/2023,6,66,No,8,5,56
10/31/2023,3,45,No,8,9,23
8/10/2023,5,74,No,5,5,63
2/18/2023,2,78,No,9,3,54
11/24/2023,6,77,Yes,7,0,64
7/26/2023,6,74,No,5,4,64
3/12/2023,5,75,No,4,0,58
12/18/2023,6,49,No,5,7,38
6/29/2023,7,69,Yes,5,1,60
11/2/2023,5,92,No,5,8,79
11/22/2023,1,80,No,4,8,57
12/26/2023,8,77,No,4,2,69
3/1/2023,4,68,Yes,5,5,51
9/20/2023,9,91,No,5,8,86
9/20/2023,6,98,Yes,8,6,90
10/26/2023,1,82,Yes,7,3,57
8/27/2023,3,78,No,8,2,61
4/18/2023,3,89,Yes,9,1,71
4/2/2023,4,43,No,7,9,30
5/25/2023,6,44,Yes,9,9,34
3/10/2023,7,43,Yes,7,0,34
3/20/2023,4,75,No,5,9,58
5/7/2023,6,98,No,8,0,85
3/3/2023,1,84,Yes,7,3,55
8/12/2023,8,55,Yes,9,3,51
11/12/2023,7,64,Yes,7,8,53
10/19/2023,9,53,Yes,4,9,51
8/20/2023,3,50,No,7,0,31
10/30/2023,2,68,Yes,5,3,44
9/11/2023,1,73,Yes,6,2,48
8/21/2023,3,61,No,4,8,41
9/12/2023,5,53,Yes,6,4,40
5/21/2023,2,95,No,5,8,72
12/29/2023,3,63,No,6,9,41
2/24/2023,4,98,No,7,5,78
3/13/2023,7,78,Yes,6,8,70
10/1/2023,3,65,No,8,0,41
8/14/2023,9,82,No,5,3,78
4/22/2023,8,75,No,8,3,70
11/10/2023,4,78,Yes,6,9,61
10/29/2023,1,55,Yes,8,9,33
9/2/2023,1,97,Yes,4,5,71
4/24/2023,1,77,Yes,6,9,51
3/6/2023,1,98,No,9,0,72
4/23/2023,8,71,No,8,9,69
8/31/2023,3,45,No,7,4,21
8/15/2023,6,73,Yes,6,2,61
8/5/2023,3,95,No,9,0,76
4/2/2023,5,47,Yes,4,5,30
10/11/2023,7,69,Yes,7,2,59
11/5/2023,2,66,Yes,6,3,45
1/4/2023,6,46,No,7,8,39
9/1/2023,6,66,No,6,1,53
9/26/2023,3,64,Yes,6,0,43
3/19/2023,6,95,No,5,9,85
8/24/2023,5,85,Yes,8,5,70
4/26/2023,2,80,No,6,0,56
10/4/2023,9,54,Yes,4,0,52
5/10/2023,8,64,Yes,9,6,65
2/26/2023,3,61,Yes,8,1,39
1/7/2023,8,57,No,5,3,48
11/4/2023,9,51,No,8,3,47
10/3/2023,3,62,No,8,1,41
11/8/2023,3,90,No,6,5,72
11/14/2023,2,84,No,4,9,61
3/3/2023,8,78,Yes,6,1,74
11/6/2023,1,64,No,4,7,38
6/16/2023,8,49,Yes,4,3,42
4/30/2023,7,69,No,7,0,60
5/5/2023,7,49,No,6,6,35
8/4/2023,3,73,No,5,5,52
8/14/2023,1,85,Yes,9,5,61
4/4/2023,4,52,No,8,2,32
11/11/2023,9,93,Yes,7,9,95
1/16/2023,5,68,No,5,6,53
5/10/2023,1,77,Yes,9,5,54
6/4/2023,5,80,Yes,9,9,70
3/2/2023,8,84,Yes,6,9,78
10/6/2023,8,48,Yes,4,8,42
4/28/2023,5,52,No,6,2,33
2/24/2023,9,76,No,9,2,75
2/1/2023,1,53,Yes,6,3,26
6/27/2023,4,76,No,7,2,58
7/23/2023,3,48,Yes,5,3,29
11/14/2023,2,47,No,9,5,29
4/16/2023,8,78,No,7,0,70
3/20/2023,7,79,No,5,1,67
2/26/2023,9,93,Yes,7,9,93
7/6/2023,2,42,No,8,5,21
8/7/2023,4,94,Yes,4,5,74
7/16/2023,6,95,No,4,0,82
4/14/2023,3,86,Yes,4,5,65
1/8/2023,8,79,No,8,8,75
12/16/2023,3,72,Yes,9,7,55
11/24/2023,2,71,Yes,9,9,54
5/5/2023,3,46,Yes,8,4,26
8/16/2023,6,58,No,4,3,48
9/8/2023,2,73,Yes,4,5,49
9/3/2023,8,53,No,5,4,49
10/2/2023,1,89,Yes,5,5,64
7/5/2023,7,86,Yes,6,9,81
11/6/2023,2,85,Yes,7,2,64
6/4/2023,6,95,No,5,6,82
5/19/2023,2,96,No,5,7,74
9/12/2023,2,58,No,5,4,32
5/2/2023,8,90,No,5,4,83
10/23/2023,2,93,No,8,3,68
6/2/2023,7,98,No,6,9,90
7/31/2023,3,65,No,5,4,44
9/22/2023,8,56,Yes,9,9,51
11/28/2023,7,93,Yes,7,7,86
11/5/2023,8,67,No,5,4,62
7/17/2023,7,58,No,8,8,48
9/21/2023,6,66,No,9,0,56
10/2/2023,7,87,No,4,6,79
8/5/2023,5,91,No,4,4,74
1/20/2023,7,96,Yes,6,3,82
12/7/2023,1,58,No,4,2,32
2/19/2023,1,72,No,5,9,46
7/25/2023,9,90,No,8,6,88
8/13/2023,5,46,Yes,6,1,35
10/2/2023,5,68,Yes,9,4,56
9/1/2023,3,94,Yes,5,1,74
8/3/2023,5,82,Yes,4,6,67
3/16/2023,3,44,No,7,5,23
7/20/2023,9,69,Yes,5,9,67
11/5/2023,9,88,Yes,7,6,86
8/20/2023,6,82,Yes,9,8,70
7/11/2023,1,95,Yes,7,1,68
1/20/2023,7,97,Yes,9,8,91
1/22/2023,7,47,No,6,6,42
7/12/2023,4,81,Yes,8,1,62
12/22/2023,8,51,Yes,4,9,44
6/15/2023,6,81,Yes,4,1,67
7/18/2023,4,52,No,5,3,35
8/7/2023,4,65,No,4,1,46
3/12/2023,2,57,No,6,0,31
9/8/2023,2,81,No,4,5,59
11/20/2023,4,90,No,5,9,71
2/1/2023,5,91,No,4,4,74
6/3/2023,8,88,No,8,2,80
3/28/2023,6,59,No,9,0,49
10/9/2023,4,55,Yes,7,8,39
9/25/2023,7,76,Yes,7,7,67
9/24/2023,8,42,No,9,5,38
2/24/2023,2,66,Yes,7,5,47
5/4/2023,7,54,No,8,3,41
2/14/2023,2,97,Yes,6,1,75
12/28/2023,2,73,Yes,5,3,53
9/10/2023,8,84,No,8,1,81
9/27/2023,2,61,Yes,5,6,37
4/23/2023,9,79,No,6,8,77
7/20/2023,1,62,No,8,1,36
11/8/2023,9,98,Yes,4,8,95
7/7/2023,1,88,No,6,8,65
4/23/2023,2,43,Yes,7,7,18
3/10/2023,6,90,Yes,8,0,80
10/15/2023,6,93,No,6,4,81
10/13/2023,1,96,No,6,9,73
7/20/2023,7,80,No,8,3,74
1/13/2023,8,62,No,7,6,57
8/9/2023,2,86,No,9,7,64
9/27/2023,8,99,Yes,7,9,97
4/7/2023,9,48,No,6,7,42
5/17/2023,6,63,Yes,5,1,48
1/11/2023,5,60,No,9,2,46
5/23/2023,9,80,Yes,9,9,79
9/28/2023,9,85,Yes,6,9,83
6/24/2023,1,94,Yes,8,6,70
7/4/2023,3,92,Yes,8,3,73
11/22/2023,9,55,Yes,8,5,56
1/30/2023,2,95,No,7,7,71
9/4/2023,4,94,Yes,4,7,76
2/18/2023,4,64,No,8,6,49
4/27/2023,2,65,Yes,8,1,43
7/27/2023,3,88,No,9,1,67
3/30/2023,3,84,Yes,5,2,63
2/8/2023,1,48,Yes,5,3,18
2/13/2023,6,54,No,6,0,43
9/8/2023,8,78,No,6,4,72
3/3/2023,3,72,Yes,6,6,57
10/8/2023,5,40,Yes,8,9,25
2/24/2023,1,44,No,5,4,15
10/13/2023,7,95,Yes,6,6,88
8/29/2023,1,48,Yes,5,4,24
3/27/2023,9,83,No,8,9,81
9/16/2023,8,45,Yes,9,7,40
6/29/2023,7,67,Yes,8,6,60
7/15/2023,7,84,No,6,0,73
10/7/2023,5,65,Yes,8,0,52
4/9/2023,5,67,No,8,4,53
7/3/2023,5,79,No,5,1,65
3/12/2023,1,54,Yes,4,8,30
10/24/2023,8,45,Yes,7,1,39
9/4/2023,1,66,No,6,8,43
2/1/2023,4,77,No,4,9,59
5/3/2023,9,43,Yes,9,1,38
5/3/2023,9,50,No,6,3,44
9/2/2023,5,60,Yes,4,2,44
11/19/2023,4,69,No,8,5,53
3/19/2023,3,57,No,6,3,37
4/3/2023,3,74,No,4,8,52
4/12/2023,5,42,Yes,7,8,30
9/27/2023,1,51,No,8,9,22
1/4/2023,5,66,No,6,8,51
2/18/2023,6,92,No,9,2,82
10/27/2023,7,69,No,9,2,63
2/17/2023,9,60,Yes,6,3,58
2/19/2023,3,77,No,4,8,58
5/26/2023,2,60,Yes,6,5,38
3/23/2023,3,99,No,8,8,80
8/23/2023,9,77,No,5,7,70
5/28/2023,7,79,Yes,9,6,72
9/28/2023,9,54,Yes,4,4,48
7/30/2023,2,57,No,7,8,36
8/17/2023,5,91,No,6,3,73
9/7/2023,4,68,No,8,3,51
4/13/2023,2,87,Yes,6,7,63
7/13/2023,9,77,No,7,3,74
12/9/2023,9,99,Yes,8,6,98
8/19/2023,6,60,No,7,3,45
4/28/2023,6,56,Yes,8,0,45
9/20/2023,8,80,Yes,5,9,74
1/20/2023,6,90,Yes,9,8,81
10/2/2023,1,57,No,8,3,30
6/29/2023,4,96,No,7,2,77
2/21/2023,7,94,Yes,4,2,86
12/19/2023,2,76,Yes,9,8,58
11/6/2023,9,99,Yes,5,7,99
10/3/2023,8,77,No,6,9,69
9/19/2023,8,51,No,5,6,47
4/23/2023,7,50,No,5,6,42
12/29/2023,4,87,Yes,6,3,73
9/17/2023,2,91,No,8,2,71
2/15/2023,3,88,No,5,3,68
11/6/2023,6,59,No,9,5,47
9/14/2023,5,48,Yes,5,3,31
4/24/2023,8,40,No,4,3,31
3/11/2023,6,97,No,9,1,86
9/3/2023,6,42,No,4,6,27
12/19/2023,1,60,No,9,5,32
7/30/2023,4,62,No,7,1,41
6/13/2023,5,48,Yes,6,4,33
5/18/2023,3,93,Yes,9,5,75
6/13/2023,9,58,Yes,9,4,57
6/2/2023,1,84,Yes,8,3,59
1/15/2023,6,94,No,8,8,87
1/20/2023,6,85,No,7,2,72
9/12/2023,5,91,Yes,8,1,78
3/24/2023,5,58,Yes,8,8,46
5/14/2023,5,62,Yes,4,7,47
10/5/2023,6,66,No,8,8,58
10/12/2023,8,66,No,8,9,63
9/14/2023,2,78,No,7,2,56
4/19/2023,6,75,Yes,7,0,62
8/29/2023,1,51,Yes,5,0,23
10/26/2023,4,94,Yes,8,2,73
10/31/2023,3,66,No,8,3,46
9/13/2023,9,85,No,9,1,80
7/5/2023,3,73,Yes,8,7,59
5/28/2023,6,72,Yes,4,2,60
8/20/2023,1,67,No,9,3,41
4/2/2023,6,70,No,8,5,61
7/25/2023,4,71,Yes,4,9,51
4/4/2023,8,89,Yes,5,5,82
12/28/2023,9,59,No,9,1,55
12/29/2023,4,79,Yes,6,5,64
9/6/2023,6,74,Yes,8,3,61
7/15/2023,1,70,No,9,4,44
4/9/2023,4,97,Yes,7,6,81
9/12/2023,7,70,No,9,6,64
6/12/2023,1,77,Yes,7,5,53
6/20/2023,8,61,No,8,9,55
5/27/2023,6,84,Yes,4,5,72
3/12/2023,5,80,Yes,7,5,65
5/11/2023,9,48,Yes,9,3,44
9/18/2023,2,91,No,9,2,70
1/3/2023,5,48,Yes,7,0,34
10/28/2023,6,54,Yes,5,2,41
5/29/2023,7,52,No,5,2,43
5/16/2023,5,61,Yes,5,8,48
5/19/2023,9,55,No,7,2,46
12/25/2023,1,71,No,7,7,47
8/25/2023,7,41,No,9,7,37
3/11/2023,7,65,Yes,8,2,56
7/14/2023,4,53,No,8,9,40
5/1/2023,9,98,Yes,4,9,96
9/3/2023,5,77,No,7,5,63
5/28/2023,4,73,Yes,8,7,58
3/17/2023,7,47,No,8,7,36
3/16/2023,4,75,No,5,9,61
5/6/2023,3,60,Yes,5,9,39
7/2/2023,9,95,No,5,8,90
6/25/2023,8,85,Yes,6,8,79
4/5/2023,1,82,No,8,7,58
7/27/2023,7,95,Yes,5,6,89
12/3/2023,9,67,No,5,9,64
9/11/2023,8,85,No,7,2,78
7/3/2023,8,83,Yes,9,6,79
12/10/2023,6,87,No,5,3,72
6/29/2023,4,45,Yes,7,1,26
6/22/2023,8,59,Yes,4,7,52
11/10/2023,3,70,No,5,1,49
1/15/2023,9,72,No,9,0,66
12/11/2023,2,83,No,7,4,59
5/25/2023,2,46,Yes,9,9,28
3/3/2023,7,47,Yes,5,8,39
2/24/2023,4,48,No,4,4,31
8/3/2023,8,41,Yes,5,1,33
9/25/2023,9,56,No,7,9,57
8/24/2023,7,91,No,4,3,83
8/31/2023,5,84,No,4,7,69
5/28/2023,8,76,Yes,4,6,71
12/14/2023,4,81,Yes,6,4,62
7/11/2023,2,83,No,7,3,58
7/4/2023,6,56,Yes,6,4,46
9/3/2023,9,92,No,9,6,93
10/16/2023,1,77,No,4,4,48
6/29/2023,7,74,Yes,6,7,68
1/12/2023,9,99,No,5,6,97
2/17/2023,9,86,No,6,6,82
4/2/2023,3,78,No,8,8,57
3/22/2023,5,69,No,9,7,55
4/28/2023,8,45,No,4,7,37
4/13/2023,8,43,Yes,4,5,35
10/21/2023,4,90,Yes,9,6,72
7/14/2023,1,76,No,9,7,51
7/13/2023,1,74,Yes,7,4,50
11/21/2023,4,97,No,5,9,82
3/30/2023,6,96,No,9,1,84
10/17/2023,8,48,No,9,6,46
8/26/2023,6,45,No,7,9,34
2/18/2023,9,52,Yes,9,2,55
11/8/2023,9,98,Yes,6,9,95
12/14/2023,2,61,No,8,7,40
5/13/2023,1,67,Yes,8,5,42
1/8/2023,2,69,No,8,3,45
7/10/2023,5,91,Yes,9,1,80
2/23/2023,4,75,No,8,6,60
8/22/2023,4,41,No,5,0,21
